,song,artist
0,Perfect,Ed Sheeran
1,Rockstar,Post Malone Featuring 21 Savage
2,Havana,Camila Cabello Featuring Young Thug
3,Gucci Gang,Lil Pump
4,Thunder,Imagine Dragons
5,Too Good At Goodbyes,Sam Smith
6,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B
7,Bad At Love,Halsey
8,Bodak Yellow (Money Moves),Cardi B
9,What Lovers Do,Maroon 5 Featuring SZA
10,All I Want For Christmas Is You,Mariah Carey
11,Feel It Still,Portugal. The Man
12,Gummo,6ix9ine
13,I Get The Bag,Gucci Mane Featuring Migos
14,MotorSport,"Migos, Nicki Minaj & Cardi B"
15,Sorry Not Sorry,Demi Lovato
16,New Rules,Dua Lipa
17,Mi Gente,J Balvin & Willy William Featuring Beyonce
18,1-800-273-8255,Logic Featuring Alessia Cara & Khalid
19,Wolves,Selena Gomez X Marshmello
20,Him & I,G-Eazy & Halsey
21,Let You Down,NF
22,I Fall Apart,Post Malone
23,Bank Account,21 Savage
24,Shape Of You,Ed Sheeran
25,How Long,Charlie Puth
26,Love.,Kendrick Lamar Featuring Zacari
27,Young Dumb & Broke,Khalid
28,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj
29,Believer,Imagine Dragons
30,Meant To Be,Bebe Rexha & Florida Georgia Line
31,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
32,Silence,Marshmello Featuring Khalid
33,Unforgettable,French Montana Featuring Swae Lee
34,Sky Walker,Miguel Featuring Travis Scott
35,Attention,Charlie Puth
36,Rockin' Around The Christmas Tree,Brenda Lee
37,The Weekend,SZA
38,End Game,Taylor Swift Featuring Ed Sheeran & Future
39,That's What I Like,Bruno Mars
40,Plain Jane,A$AP Ferg Featuring Nicki Minaj
41,The Christmas Song (Merry Christmas To You),Nat King Cole
42,...Ready For It?,Taylor Swift
43,Ric Flair Drip,Offset & Metro Boomin
44,It's The Most Wonderful Time Of The Year,Andy Williams
45,There's Nothing Holdin' Me Back,Shawn Mendes
46,A Holly Jolly Christmas,Burl Ives
47,Rubbin Off The Paint,YBN Nahmir
48,Congratulations,Post Malone Featuring Quavo
49,Humble.,Kendrick Lamar
50,What About Us,P!nk
51,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black"
52,Tell Me You Love Me,Demi Lovato
53,Greatest Love Story,LANCO
54,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt
55,Roll In Peace,Kodak Black Featuring XXXTENTACION
56,Light It Up,Luke Bryan
57,Codeine Dreaming,Kodak Black Featuring Lil Wayne
58,Candy Paint,Post Malone
59,Lemon,N*E*R*D & Rihanna
60,Kooda,6ix9ine
61,Like I Loved You,Brett Young
62,I'll Name The Dogs,Blake Shelton
63,Good Old Days,Macklemore Featuring Kesha
64,When It Rains It Pours,Luke Combs
65,Lights Down Low,MAX Featuring gnash
66,Yours,Russell Dickerson
67,Betrayed,Lil Xan
68,Unforgettable,Thomas Rhett
69,Round Here Buzz,Eric Church
70,MIC Drop,BTS Featuring Desiigner
71,Look What You Made Me Do,Taylor Swift
72,Pick It Up,Famous Dex Featuring A$AP Rocky
73,The Race,Tay-K
74,Echame La Culpa,Luis Fonsi & Demi Lovato
75,Wanted You,NAV Featuring Lil Uzi Vert
76,Losing Sleep,Chris Young
